UniprotAC	Symbol	ENSGid	ExpressionDirection	DatasetID	Comparison
P60709	ACTB	ENSG00000075624	Up	Korfei13	IPF_vs_Ctrl
P28838	LAP3	ENSG00000002549	Up	Korfei13	IPF_vs_Ctrl
P62937	PPIA	ENSG00000196262	Up	Korfei13	IPF_vs_Ctrl
Q01469	FABP5	ENSG00000164687	Down	Korfei13	IPF_vs_Ctrl
P60174	TPI1	ENSG00000111669	Up	Korfei13	IPF_vs_Ctrl
P07339	CTSD	ENSG00000117984	Down	Korfei13	IPF_vs_Ctrl
P62736	ACTA2	ENSG00000107796	Up	Korfei13	IPF_vs_Ctrl
P08758	ANXA5	ENSG00000164111	Down	Korfei13	IPF_vs_Ctrl
P00738	HP	ENSG00000257017	Down	Korfei13	IPF_vs_Ctrl
P02792	FTL	ENSG00000087086	Up	Korfei13	IPF_vs_Ctrl
Q06830	PRDX1	ENSG00000117450	Up	Korfei13	IPF_vs_Ctrl
P02647	APOA1	ENSG00000118137	Up	Korfei13	IPF_vs_Ctrl
P31949	S100A11	ENSG00000163191	Down	Korfei13	IPF_vs_Ctrl
P02743	APCS	ENSG00000132703	Down	Korfei13	IPF_vs_Ctrl
P08727	KRT19	ENSG00000171345	Up	Korfei13	IPF_vs_Ctrl
P13745	Gsta1	ENSMUSG00000074183	Down	Korfei13	IPF_vs_Ctrl
Q96IY4	CPB2	ENSG00000080618	Down	Niu17	IPF_vs_Ctrl
P13796	LCP1	ENSG00000136167	Up	Niu17	IPF_vs_Ctrl
P00742	F10	ENSG00000126218	Down	Niu17	IPF_vs_Ctrl
P22891	PROZ	ENSG00000126231	Down	Niu17	IPF_vs_Ctrl
P05546	SERPIND1	ENSG00000099937	Down	Niu17	IPF_vs_Ctrl
P01700	IGLV1-47	ENSG00000211648	Up	Niu17	IPF_vs_Ctrl
A0A075B6K0	IGLV3-16	ENSG00000211665	Up	Niu17	IPF_vs_Ctrl
O75882	ATRN	ENSG00000088812	Down	Niu17	IPF_vs_Ctrl
O14791	APOL1	ENSG00000100342	Down	Niu17	IPF_vs_Ctrl
P18428	LBP	ENSG00000129988	Up	Niu17	IPF_vs_Ctrl
Q96KN2	CNDP1	ENSG00000150656	Down	Niu17	IPF_vs_Ctrl
P19823	ITIH2	ENSG00000151655	Down	Niu17	IPF_vs_Ctrl
P35858	IGFALS	ENSG00000099769	Down	Niu17	IPF_vs_Ctrl
P80108	GPLD1	ENSG00000112293	Down	Niu17	IPF_vs_Ctrl
P02760	AMBP	ENSG00000106927	Down	Niu17	IPF_vs_Ctrl
P06396	GSN	ENSG00000148180	Down	Niu17	IPF_vs_Ctrl
P02750	LRG1	ENSG00000171236	Up	Niu17	IPF_vs_Ctrl
P62937	PPIA	ENSG00000196262	Up	Niu17	IPF_vs_Ctrl
P02774	GC	ENSG00000145321	Down	Niu17	IPF_vs_Ctrl
P17936	IGFBP3	ENSG00000146674	Down	Niu17	IPF_vs_Ctrl
P02775	PPBP	ENSG00000163736	Down	Niu17	IPF_vs_Ctrl
P02748	C9	ENSG00000113600	Up	Niu17	IPF_vs_Ctrl
P10643	C7	ENSG00000112936	Up	Niu17	IPF_vs_Ctrl
P13671	C6	ENSG00000039537	Down	Niu17	IPF_vs_Ctrl
O95445	APOM	ENSG00000204444	Down	Niu17	IPF_vs_Ctrl
P00915	CA1	ENSG00000133742	Up	Niu17	IPF_vs_Ctrl
P00918	CA2	ENSG00000104267	Up	Niu17	IPF_vs_Ctrl
P05543	SERPINA7	ENSG00000123561	Down	Niu17	IPF_vs_Ctrl
P05362	ICAM1	ENSG00000090339	Up	Niu17	IPF_vs_Ctrl
P07195	LDHB	ENSG00000111716	Up	Niu17	IPF_vs_Ctrl
Q6UXB8	PI16	ENSG00000164530	Down	Niu17	IPF_vs_Ctrl
P07360	C8G	ENSG00000176919	Down	Niu17	IPF_vs_Ctrl
P29622	SERPINA4	ENSG00000100665	Down	Niu17	IPF_vs_Ctrl
P68871	HBB	ENSG00000244734	Up	Niu17	IPF_vs_Ctrl
P02042	HBD	ENSG00000223609	Up	Niu17	IPF_vs_Ctrl
Q96PD5	PGLYRP2	ENSG00000161031	Down	Niu17	IPF_vs_Ctrl
P67936	TPM4	ENSG00000167460	Up	Niu17	IPF_vs_Ctrl
P43251	BTD	ENSG00000169814	Down	Niu17	IPF_vs_Ctrl
Q8TD30	GPT2	ENSG00000166123	Down	Niu17	IPF_vs_Ctrl
P27169	PON1	ENSG00000005421	Down	Niu17	IPF_vs_Ctrl
P01854	IGHE	ENSG00000211891	Up	Niu17	IPF_vs_Ctrl
P23083	IGHV1-2	ENSG00000211934	Up	Niu17	IPF_vs_Ctrl
A0A0C4DH38	IGHV5-51	ENSG00000211966	Up	Niu17	IPF_vs_Ctrl
P11597	CETP	ENSG00000087237	Down	Niu17	IPF_vs_Ctrl
P04264	KRT1	ENSG00000167768	Up	Niu17	IPF_vs_Ctrl
P0DJI9	SAA2	ENSG00000134339	Up	Niu17	IPF_vs_Ctrl
P02675	FGB	ENSG00000171564	Up	Niu17	IPF_vs_Ctrl
P02671	FGA	ENSG00000171560	Up	Niu17	IPF_vs_Ctrl
P04180	LCAT	ENSG00000213398	Down	Niu17	IPF_vs_Ctrl
P04040	CAT	ENSG00000121691	Up	Niu17	IPF_vs_Ctrl
P05452	CLEC3B	ENSG00000163815	Down	Niu17	IPF_vs_Ctrl
P12830	CDH1	ENSG00000039068	Down	Niu17	IPF_vs_Ctrl
P03952	KLKB1	ENSG00000164344	Down	Niu17	IPF_vs_Ctrl
P03951	F11	ENSG00000088926	Down	Niu17	IPF_vs_Ctrl
P00734	F2	ENSG00000180210	Down	Niu17	IPF_vs_Ctrl
P00738	HP	ENSG00000257017	Up	Niu17	IPF_vs_Ctrl
P00739	HPR	ENSG00000261701	Down	Niu17	IPF_vs_Ctrl
O75636	FCN3	ENSG00000142748	Down	Niu17	IPF_vs_Ctrl
P02649	APOE	ENSG00000130203	Down	Niu17	IPF_vs_Ctrl
P02654	APOC1	ENSG00000130208	Down	Niu17	IPF_vs_Ctrl
Q9UHG3	PCYOX1	ENSG00000116005	Down	Niu17	IPF_vs_Ctrl
P19827	ITIH1	ENSG00000055957	Down	Niu17	IPF_vs_Ctrl
P51884	LUM	ENSG00000139329	Down	Niu17	IPF_vs_Ctrl
P00747	PLG	ENSG00000122194	Down	Niu17	IPF_vs_Ctrl
P07225	PROS1	ENSG00000184500	Down	Niu17	IPF_vs_Ctrl
P04217	A1BG	ENSG00000121410	Down	Niu17	IPF_vs_Ctrl
P07357	C8A	ENSG00000157131	Down	Niu17	IPF_vs_Ctrl
P07358	C8B	ENSG00000021852	Down	Niu17	IPF_vs_Ctrl
P06276	BCHE	ENSG00000114200	Down	Niu17	IPF_vs_Ctrl
Q16610	ECM1	ENSG00000143369	Down	Niu17	IPF_vs_Ctrl
P02765	AHSG	ENSG00000145192	Down	Niu17	IPF_vs_Ctrl
Q9UGM5	FETUB	ENSG00000090512	Down	Niu17	IPF_vs_Ctrl
P01042	KNG1	ENSG00000113889	Down	Niu17	IPF_vs_Ctrl
Q9NR48	ASH1L	ENSG00000116539	Up	Niu17	IPF_vs_Ctrl
P02741	CRP	ENSG00000132693	Up	Niu17	IPF_vs_Ctrl
P18065	IGFBP2	ENSG00000115457	Up	Niu17	IPF_vs_Ctrl
P30041	PRDX6	ENSG00000117592	Up	Niu17	IPF_vs_Ctrl
P08603	CFH	ENSG00000000971	Down	Niu17	IPF_vs_Ctrl
P05160	F13B	ENSG00000143278	Down	Niu17	IPF_vs_Ctrl
P01833	PIGR	ENSG00000162896	Up	Niu17	IPF_vs_Ctrl
P36955	SERPINF1	ENSG00000132386	Down	Niu17	IPF_vs_Ctrl
P04004	VTN	ENSG00000109072	Down	Niu17	IPF_vs_Ctrl
P02749	APOH	ENSG00000091583	Down	Niu17	IPF_vs_Ctrl
P57087	JAM2	ENSG00000154721	Down	Tian19	IPF_vs_Ctrl
P61960	UFM1	ENSG00000120686	Up	Tian19	IPF_vs_Ctrl
Q96NY7	CLIC6	ENSG00000159212	Up	Tian19	IPF_vs_Ctrl
P16152	CBR1	ENSG00000159228	Up	Tian19	IPF_vs_Ctrl
O95171	SCEL	ENSG00000136155	Down	Tian19	IPF_vs_Ctrl
P48553	TRAPPC10	ENSG00000160218	Down	Tian19	IPF_vs_Ctrl
Q13217	DNAJC3	ENSG00000102580	Up	Tian19	IPF_vs_Ctrl
P10114	RAP2A	ENSG00000125249	Down	Tian19	IPF_vs_Ctrl
P12109	COL6A1	ENSG00000142156	Down	Tian19	IPF_vs_Ctrl
P12110	COL6A2	ENSG00000142173	Down	Tian19	IPF_vs_Ctrl
P02462	COL4A1	ENSG00000187498	Down	Tian19	IPF_vs_Ctrl
Q5KU26	COLEC12	ENSG00000158270	Up	Tian19	IPF_vs_Ctrl
Q7RTP6	MICAL3	ENSG00000243156	Up	Tian19	IPF_vs_Ctrl
P05546	SERPIND1	ENSG00000099937	Down	Tian19	IPF_vs_Ctrl
P62942	FKBP1A	ENSG00000088832	Up	Tian19	IPF_vs_Ctrl
P14174	MIF	ENSG00000240972	Up	Tian19	IPF_vs_Ctrl
P12004	PCNA	ENSG00000132646	Up	Tian19	IPF_vs_Ctrl
Q15555	MAPRE2	ENSG00000166974	Up	Tian19	IPF_vs_Ctrl
O75884	RBBP9	ENSG00000089050	Up	Tian19	IPF_vs_Ctrl
Q10567	AP1B1	ENSG00000100280	Up	Tian19	IPF_vs_Ctrl
P07204	THBD	ENSG00000178726	Down	Tian19	IPF_vs_Ctrl
Q9H0R4	HDHD2	ENSG00000167220	Up	Tian19	IPF_vs_Ctrl
Q8WWX9	SELENOM	ENSG00000198832	Up	Tian19	IPF_vs_Ctrl
P23526	AHCY	ENSG00000101444	Up	Tian19	IPF_vs_Ctrl
P35625	TIMP3	ENSG00000100234	Down	Tian19	IPF_vs_Ctrl
O43776	NARS1	ENSG00000134440	Up	Tian19	IPF_vs_Ctrl
Q9Y3Z3	SAMHD1	ENSG00000101347	Up	Tian19	IPF_vs_Ctrl
Q9BY50	SEC11C	ENSG00000166562	Up	Tian19	IPF_vs_Ctrl
P36952	SERPINB5	ENSG00000206075	Up	Tian19	IPF_vs_Ctrl
P29508	SERPINB3	ENSG00000057149	Up	Tian19	IPF_vs_Ctrl
Q99973	TEP1	ENSG00000129566	Up	Tian19	IPF_vs_Ctrl
P46060	RANGAP1	ENSG00000100401	Up	Tian19	IPF_vs_Ctrl
P27695	APEX1	ENSG00000100823	Up	Tian19	IPF_vs_Ctrl
Q96KP4	CNDP2	ENSG00000133313	Up	Tian19	IPF_vs_Ctrl
O75475	PSIP1	ENSG00000164985	Down	Tian19	IPF_vs_Ctrl
P21399	ACO1	ENSG00000122729	Up	Tian19	IPF_vs_Ctrl
Q01813	PFKP	ENSG00000067057	Up	Tian19	IPF_vs_Ctrl
P11686	SFTPC	ENSG00000168484	Down	Tian19	IPF_vs_Ctrl
Q5JRX3	PITRM1	ENSG00000107959	Up	Tian19	IPF_vs_Ctrl
P52895	AKR1C2	ENSG00000151632	Up	Tian19	IPF_vs_Ctrl
A0A075B6Y9	TRAJ42	ENSG00000211847	Down	Tian19	IPF_vs_Ctrl
Q9NQP4	PFDN4	ENSG00000101132	Up	Tian19	IPF_vs_Ctrl
P48454	PPP3CC	ENSG00000120910	Up	Tian19	IPF_vs_Ctrl
P08842	STS	ENSG00000101846	Up	Tian19	IPF_vs_Ctrl
P07197	NEFM	ENSG00000104722	Up	Tian19	IPF_vs_Ctrl
P30837	ALDH1B1	ENSG00000137124	Up	Tian19	IPF_vs_Ctrl
